Trt,sewThrdCns
cotton,12.5
cotton,13.15
cotton,13.7
cotton,15.1
cotton,16.3
cotton,17.48
cotton,18.12
cotton,19.11
cotton,20.08
cotton,21.3
cotton,23.21
cotton,24.8
cotton,12.91
cotton,13.7
cotton,14.7
cotton,15.5
cotton,16.7
cotton,18.11
cotton,19.01
cotton,20.22
cotton,21.24
cotton,23.38
cotton,24.82
cotton,26.22
polyester,12.38
polyester,13.02
polyester,13.66
polyester,14.5
polyester,15.4
polyester,16.2
polyester,17.12
polyester,17.9
polyester,19.28
polyester,20.1
polyester,21.86
polyester,22.88
polyester,12.58
polyester,13.08
polyester,14.32
polyester,15.1
polyester,15.84
polyester,17.3
polyester,17.9
polyester,18.88
polyester,20.28
polyester,21.86
polyester,22.94
polyester,24.32