vertical_cm,triple_cm
33,383
71.1,781
62.25,561.62
61.33,624.52
40.19,446.24
38.96,515.3
39.69,449.22
46.51,560.91
37.68,519.12
53.48,595.38
65.85,686.42
57.6,601.67
37.66,553.23
41.7,529.22
48.98,561.16
34.14,465.88
56.12,497.3
53.91,592.71
67.6,679.95
51.29,531.92
53.82,562.83
42.05,447.53
48.55,683.56
66.76,630.6
59.38,644.69
43.68,479.34
66.14,745.95
61.5,667.12
37.65,411.63
37.59,483.32
60.1,638.67
42.57,477.62
49.97,467.6
48.42,400.31
52.41,586.62
42.27,513.26
35.76,464.71
34.96,403.22
41.84,475.63
47.53,568.04