Loc,Block,Entry,LeafCP
L1,B1,A,295
L1,B1,B,293.9
L1,B1,C,306.8
L1,B1,D,300.6
L1,B1,E,300.2
L1,B2,A,287.3
L1,B2,B,297.9
L1,B2,C,321
L1,B2,D,287.6
L1,B2,E,310.6
L1,B3,A,291.1
L1,B3,B,287.9
L1,B3,C,301.8
L1,B3,D,291.2
L1,B3,E,307.6
L1,B4,A,290.9
L1,B4,B,296.8
L1,B4,C,320.5
L1,B4,D,306.4
L1,B4,E,300.7
L2,B1,A,270.58
L2,B1,B,276.28
L2,B1,C,316.28
L2,B1,D,302.98
L2,B1,E,289.28
L2,B2,A,282.78
L2,B2,B,320.28
L2,B2,C,299.98
L2,B2,D,295.98
L2,B2,E,293.98
L2,B3,A,272.18
L2,B3,B,287.78
L2,B3,C,297.48
L2,B3,D,292.18
L2,B3,E,312.78
L2,B4,A,292.38
L2,B4,B,288.28
L2,B4,C,318.48
L2,B4,D,306.48
L2,B4,E,303.18
L3,B1,A,238
L3,B1,B,234.3
L3,B1,C,286.2
L3,B1,D,239.5
L3,B1,E,257.9
L3,B2,A,260.9
L3,B2,B,235.7
L3,B2,C,252.7
L3,B2,D,219.7
L3,B2,E,256.8
L3,B3,A,280.9
L3,B3,B,283.9
L3,B3,C,282.5
L3,B3,D,280.3
L3,B3,E,286
L3,B4,A,260
L3,B4,B,282
L3,B4,C,280.1
L3,B4,D,242.5
L3,B4,E,278.2